threshold,tp,fp,tn,fn,flagged,precision,recall,fpr,intervention_rate,loss_avoided,fp_cost,net_value
0.088,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.089,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.09,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.091,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.092,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.093,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.094,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.095,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.096,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.097,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.098,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.099,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.1,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.101,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.10200000000000001,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.10300000000000001,915,5096,80402,2168,6011,0.15222092829812012,0.296788842036977,0.05960373342066481,0.06785879590431357,84668.50800000002,101920.0,-17251.491999999984
0.10400000000000001,904,4945,80553,2179,5849,0.1545563344161395,0.2932208887447292,0.05783761023649676,0.06602996127837799,82068.85840000001,98900.0,-16831.141599999988
0.105,904,4944,80554,2179,5848,0.1545827633378933,0.2932208887447292,0.057825914056469155,0.06601867217574875,82068.85840000001,98880.0,-16811.141599999988
0.106,844,4320,81178,2239,5164,0.16343919442292795,0.2737593253324684,0.0505274977192449,0.05829692597735406,76232.34,86400.0,-10167.660000000003
