policy_family,intervention_count,fpr_budget,tp,fp,tn,fn,precision,recall,fpr,intervention_rate,verify_count,review_count,hold_count,loss_avoided,intervention_cost,net_value
LOW_FRICTION,568,0.0025,368,200,85339,2674,0.647887323943662,0.12097304404996713,0.0023381147780544547,0.006412210293403778,568,0,0,55797.836800000005,11360.0,44437.836800000005
LOW_FRICTION,569,0.0025,368,201,85338,2674,0.6467486818980668,0.12097304404996713,0.002349805351944727,0.006423499396033009,569,0,0,55797.836800000005,11380.0,44417.836800000005
LOW_FRICTION,570,0.0025,369,201,85338,2673,0.6473684210526316,0.12130177514792899,0.002349805351944727,0.006434788498662241,570,0,0,55808.263999999996,11400.0,44408.263999999996
LOW_FRICTION,571,0.0025,370,201,85338,2672,0.647985989492119,0.12163050624589086,0.002349805351944727,0.006446077601291473,571,0,0,56603.46400000001,11420.0,45183.46400000001
LOW_FRICTION,572,0.0025,371,201,85338,2671,0.6486013986013986,0.12195923734385272,0.002349805351944727,0.0064573667039207056,572,0,0,56646.35279999999,11440.0,45206.35279999999
LOW_FRICTION,573,0.0025,372,201,85338,2670,0.6492146596858639,0.1222879684418146,0.002349805351944727,0.006468655806549937,573,0,0,56709.209599999995,11460.0,45249.209599999995
LOW_FRICTION,574,0.0025,372,202,85337,2670,0.6480836236933798,0.1222879684418146,0.0023614959258349993,0.006479944909179169,574,0,0,56709.209599999995,11480.0,45229.209599999995
LOW_FRICTION,575,0.0025,372,203,85336,2670,0.6469565217391304,0.1222879684418146,0.0023731864997252714,0.006491234011808402,575,0,0,56709.209599999995,11500.0,45209.209599999995
LOW_FRICTION,576,0.0025,372,204,85335,2670,0.6458333333333334,0.1222879684418146,0.002384877073615544,0.0065025231144376335,576,0,0,56709.209599999995,11520.0,45189.209599999995
LOW_FRICTION,577,0.0025,372,205,85334,2670,0.6447140381282496,0.1222879684418146,0.002396567647505816,0.006513812217066865,577,0,0,56709.209599999995,11540.0,45169.209599999995
LOW_FRICTION,578,0.0025,372,206,85333,2670,0.643598615916955,0.1222879684418146,0.0024082582213960885,0.006525101319696097,578,0,0,56709.209599999995,11560.0,45149.209599999995
LOW_FRICTION,579,0.0025,373,206,85333,2669,0.6442141623488774,0.12261669953977647,0.0024082582213960885,0.00653639042232533,579,0,0,56719.15840000001,11580.0,45139.15840000001
LOW_FRICTION,580,0.0025,374,206,85333,2668,0.6448275862068965,0.12294543063773833,0.0024082582213960885,0.006547679524954561,580,0,0,56723.1912,11600.0,45123.1912
LOW_FRICTION,581,0.0025,374,207,85332,2668,0.6437177280550774,0.12294543063773833,0.0024199487952863605,0.006558968627583793,581,0,0,56723.1912,11620.0,45103.1912
LOW_FRICTION,582,0.0025,374,208,85331,2668,0.6426116838487973,0.12294543063773833,0.002431639369176633,0.006570257730213025,582,0,0,56723.1912,11640.0,45083.1912
LOW_FRICTION,583,0.0025,374,209,85330,2668,0.6415094339622641,0.12294543063773833,0.002443329943066905,0.006581546832842258,583,0,0,56723.1912,11660.0,45063.1912
LOW_FRICTION,584,0.0025,374,210,85329,2668,0.6404109589041096,0.12294543063773833,0.0024550205169571776,0.006592835935471489,584,0,0,56723.1912,11680.0,45043.1912
LOW_FRICTION,585,0.0025,374,211,85328,2668,0.6393162393162393,0.12294543063773833,0.0024667110908474497,0.006604125038100721,585,0,0,56723.1912,11700.0,45023.1912
LOW_FRICTION,586,0.0025,375,211,85328,2667,0.6399317406143344,0.1232741617357002,0.0024667110908474497,0.006615414140729954,586,0,0,56739.191199999994,11720.0,45019.191199999994
LOW_FRICTION,587,0.0025,375,212,85327,2667,0.6388415672913118,0.1232741617357002,0.0024784016647377218,0.0066267032433591855,587,0,0,56739.191199999994,11740.0,44999.191199999994
LOW_FRICTION,588,0.0025,376,212,85327,2666,0.6394557823129252,0.12360289283366206,0.0024784016647377218,0.006637992345988417,588,0,0,56899.1912,11760.0,45139.1912
LOW_FRICTION,589,0.0025,377,212,85327,2665,0.6400679117147708,0.12393162393162394,0.0024784016647377218,0.006649281448617649,589,0,0,56909.61840000001,11780.0,45129.61840000001
LOW_FRICTION,590,0.0025,377,213,85326,2665,0.6389830508474577,0.12393162393162394,0.0024900922386279943,0.006660570551246882,590,0,0,56909.61840000001,11800.0,45109.61840000001
BALANCED,1355,0.01,579,776,84763,2463,0.4273062730627306,0.1903353057199211,0.009071885338851284,0.015296734062609363,1355,0,0,85420.30320000001,27100.0,58320.30320000001
BALANCED,1356,0.01,579,777,84762,2463,0.4269911504424779,0.1903353057199211,0.009083575912741556,0.015308023165238596,1356,0,0,85420.30320000001,27120.0,58300.30320000001
BALANCED,1357,0.01,580,777,84762,2462,0.42741341193809873,0.19066403681788296,0.009083575912741556,0.015319312267867827,1357,0,0,85438.50160000002,27140.0,58298.50160000002
BALANCED,1358,0.01,580,778,84761,2462,0.4270986745213549,0.19066403681788296,0.009095266486631828,0.01533060137049706,1358,0,0,85438.50160000002,27160.0,58278.50160000002
BALANCED,1359,0.01,580,779,84760,2462,0.42678440029433407,0.19066403681788296,0.009106957060522102,0.015341890473126292,1359,0,0,85438.50160000002,27180.0,58258.50160000002
BALANCED,1360,0.01,580,780,84759,2462,0.4264705882352941,0.19066403681788296,0.009118647634412374,0.015353179575755523,1360,0,0,85438.50160000002,27200.0,58238.50160000002
BALANCED,1361,0.01,580,781,84758,2462,0.426157237325496,0.19066403681788296,0.009130338208302646,0.015364468678384756,1361,0,0,85438.50160000002,27220.0,58218.50160000002
BALANCED,1362,0.01,580,782,84757,2462,0.42584434654919234,0.19066403681788296,0.009142028782192918,0.015375757781013986,1362,0,0,85438.50160000002,27240.0,58198.50160000002
BALANCED,1363,0.01,580,783,84756,2462,0.425531914893617,0.19066403681788296,0.00915371935608319,0.015387046883643219,1363,0,0,85438.50160000002,27260.0,58178.50160000002
BALANCED,1364,0.01,580,784,84755,2462,0.4252199413489736,0.19066403681788296,0.009165409929973462,0.015398335986272452,1364,0,0,85438.50160000002,27280.0,58158.50160000002
BALANCED,1365,0.01,580,785,84754,2462,0.4249084249084249,0.19066403681788296,0.009177100503863734,0.015409625088901683,1365,0,0,85438.50160000002,27300.0,58138.50160000002
BALANCED,1366,0.01,580,786,84753,2462,0.424597364568082,0.19066403681788296,0.009188791077754006,0.015420914191530915,1366,0,0,85438.50160000002,27320.0,58118.50160000002
BALANCED,1367,0.01,580,787,84752,2462,0.4242867593269934,0.19066403681788296,0.009200481651644278,0.015432203294160148,1367,0,0,85438.50160000002,27340.0,58098.50160000002
BALANCED,1368,0.01,580,788,84751,2462,0.4239766081871345,0.19066403681788296,0.009212172225534552,0.015443492396789379,1368,0,0,85438.50160000002,27360.0,58078.50160000002
BALANCED,1369,0.01,580,789,84750,2462,0.42366691015339664,0.19066403681788296,0.009223862799424824,0.015454781499418611,1369,0,0,85438.50160000002,27380.0,58058.50160000002
BALANCED,1370,0.01,580,790,84749,2462,0.4233576642335766,0.19066403681788296,0.009235553373315096,0.015466070602047844,1370,0,0,85438.50160000002,27400.0,58038.50160000002
BALANCED,1371,0.01,580,791,84748,2462,0.42304886943836617,0.19066403681788296,0.009247243947205368,0.015477359704677075,1371,0,0,85438.50160000002,27420.0,58018.50160000002
BALANCED,1372,0.01,580,792,84747,2462,0.4227405247813411,0.19066403681788296,0.00925893452109564,0.015488648807306308,1372,0,0,85438.50160000002,27440.0,57998.50160000002
BALANCED,1373,0.01,580,793,84746,2462,0.4224326292789512,0.19066403681788296,0.009270625094985913,0.015499937909935538,1373,0,0,85438.50160000002,27460.0,57978.50160000002
BALANCED,1374,0.01,580,794,84745,2462,0.42212518195050946,0.19066403681788296,0.009282315668876185,0.015511227012564771,1374,0,0,85438.50160000002,27480.0,57958.50160000002
BALANCED,1375,0.01,580,795,84744,2462,0.4218181818181818,0.19066403681788296,0.009294006242766457,0.015522516115194004,1375,0,0,85438.50160000002,27500.0,57938.50160000002
BALANCED,1376,0.01,580,796,84743,2462,0.42151162790697677,0.19066403681788296,0.00930569681665673,0.015533805217823235,1376,0,0,85438.50160000002,27520.0,57918.50160000002
